Country,Candidate,Year,personalism
ARGENTINA,Mauricio Macri,2019,0.615384615384615
BOLIVIA,Carlos Mesa Gisbert,2019,0.373493975903614
BOLIVIA,Luis Fernando Camacho,2020,0.3125
BRASIL,Aecio Neves,2014,0.555555555555556
BRASIL,Jair Bolsonaro,2022,0.747826086956522
CHILE,Alejandro Guillier,2017,0.371794871794872
CHILE,Franco Parisi,2013,0.755813953488372
CHILE,Sebastian Piñera,2017,0.257575757575758
CHILE,Sebastián Sichel,2021,0.68
CHILE,Yasna Provoste,2021,0.431372549019608
COLOMBIA,Federico Gutiérrez,2022,0.593457943925234
COLOMBIA,Rodolfo Hernández,2022,0.844621513944223
COSTA RICA,Antonio Alvarez,2018,0.707317073170732
COSTA RICA,Eliécer Feinzaig,2022,0.622222222222222
COSTA RICA,Fabricio Alvarado,2022,0.227848101265823
COSTA RICA,Johnny Araya Monge,2014,0.706976744186047
COSTA RICA,José María Figueres,2022,0.7
COSTA RICA,Rodolfo Piza Rocafort,2018,0.625668449197861
COSTA RICA,Rodrigo Chaves,2022,0.615384615384615
ECUADOR,Xavier Hervas,2021,0.449275362318841
ECUADOR,Yaku Pérez,2021,0.461538461538462
EL SALVADOR,Carlos Calleja,2019,0.573426573426573
GUATEMALA,Jimmy Morales,2015,0.739130434782609
GUATEMALA,Manuel Baldizón,2015,0.636363636363636
GUATEMALA,Sandra Torres,2019,0.862222222222222
HONDURAS,Luis Orlando Zelaya,2017,0.438775510204082
HONDURAS,Mauricio Villeda,2013,0.64021164021164
HONDURAS,Xiomara Castro,2021,0.451612903225806
MEXICO,José Antonio Meade,2018,0.816176470588235
MEXICO,Ricardo Anaya,2018,0.664921465968586
NICARAGUA,Daniel Ortega,2011,0.25
PANAMA,Jose Domingo Arias,2014,0.555555555555556
PANAMA,Rómulo Roux,2019,0.644
PARAGUAY,Efrain Alegre,2018,0.41875
PARAGUAY,Horacio Cartes,2013,0.298165137614679
PERU,Alejandro Toledo,2011,0.625
PERU,Hernando de Soto,2021,0.704918032786885
PERU,Keiko Fujimori,2011,0.5
PERU,Ollanta Humala,2011,0.545454545454545
PERU,Pedro Pablo Kuczynski,2016,0.414342629482072
REPÚBLICA DOMINICANA,Danilo Medina,2012,0.572953736654804
REPÚBLICA DOMINICANA,Gonzálo Castillo,2020,0.788888888888889
REPÚBLICA DOMINICANA,Hipolito Mejia,2012,0.515151515151515
REPÚBLICA DOMINICANA,Luis Abinader,2016,0.647887323943662
URUGUAY,Daniel Martínez,2019,0.261904761904762
URUGUAY,Ernesto Talvi,2019,0.4
URUGUAY,Guido Manini Rios,2019,0.032258064516129
URUGUAY,Luis Lacalle Pou,2014,0.185185185185185
VENEZUELA,Hugo Chávez,2012,0.205882352941176
VENEZUELA,Javier Bertucci,2018,0.824324324324324
