Country,Candidate,Year,personalism
ARGENTINA,Eduardo Duhalde,2011,0.571428571428571
ARGENTINA,Mauricio Macri,2019,0.615384615384615
ARGENTINA,Roberto Lavagna,2019,0.148148148148148
BOLIVIA,Carlos Mesa Gisbert,2019,0.373493975903614
BOLIVIA,Chi Hyun Chung,2019,0.333333333333333
BOLIVIA,Félix Patzi,2019,0
BOLIVIA,Luis Fernando Camacho,2020,0.3125
BOLIVIA,Virginio Lema,2019,0.285714285714286
BRASIL,Aecio Neves,2014,0.555555555555556
BRASIL,Everaldo Pereira,2014,0.7
BRASIL,Geraldo Alckmin,2018,0.54368932038835
BRASIL,Henrique Meirelles,2018,0.976211453744493
BRASIL,Jair Bolsonaro,2022,0.747826086956522
BRASIL,José Maria Eymael,2018,0.833333333333333
BRASIL,Leonardo Péricles,2022,0.257142857142857
BRASIL,Luiz Felipe D'Ávila,2022,0.503875968992248
BRASIL,Mauro Iasi,2014,0.851851851851852
BRASIL,Simone Tebet,2022,0.785714285714286
BRASIL,Soraya Thronicke,2022,0.376666666666667
CHILE,Alejandro Guillier,2017,0.371794871794872
CHILE,Eduardo Artés,2021,0.466101694915254
CHILE,Franco Parisi,2013,0.755813953488372
CHILE,Marcel Claude,2013,0.310810810810811
CHILE,Marco Enríquez Ominami,2021,0.428571428571429
CHILE,Sebastian Piñera,2017,0.257575757575758
CHILE,Sebastián Sichel,2021,0.68
CHILE,Yasna Provoste,2021,0.431372549019608
COLOMBIA,Federico Gutiérrez,2022,0.593457943925234
COLOMBIA,John Milton Rodríguez,2022,0.342857142857143
COLOMBIA,Luis Pérez,2022,0.65
COLOMBIA,Rodolfo Hernández,2022,0.844621513944223
COLOMBIA,Sergio Fajardo,2022,0.551898734177215
COLOMBIA,Viviane Morales Hoyos,2018,0.756756756756757
COLOMBIA,Íngrid Betancourt,2022,0.875
COSTA RICA,Antonio Alvarez,2018,0.707317073170732
COSTA RICA,Christian Rivera Paniagua,2022,1
COSTA RICA,Edgardo Araya,2018,0.339100346020761
COSTA RICA,Eliécer Feinzaig,2022,0.622222222222222
COSTA RICA,Fabricio Alvarado,2022,0.227848101265823
COSTA RICA,Federico Malavassi,2022,0.416666666666667
COSTA RICA,Jhonn Vega Masís,2022,0.287671232876712
COSTA RICA,Johnny Araya Monge,2014,0.706976744186047
COSTA RICA,Jose Miguel Corrales,2014,0.583333333333333
COSTA RICA,José María Figueres,2022,0.7
COSTA RICA,José María Villalta,2022,0.168674698795181
COSTA RICA,Natalia Díaz Quintana,2022,0.472727272727273
COSTA RICA,Rodolfo Piza Rocafort,2014,0.625668449197861
COSTA RICA,Rodrigo Chaves,2022,0.615384615384615
COSTA RICA,Rolando Araya Monge,2022,0.697674418604651
COSTA RICA,Roulan Jiménez Chavarría,2022,0.428571428571429
COSTA RICA,Sergio Mena,2014,0.503875968992248
COSTA RICA,Walter Muñoz Céspedes,2022,0
ECUADOR,César Montúfar,2021,0.333333333333333
ECUADOR,Gerson Almeida,2021,0.6
ECUADOR,Giovanny Andrade,2021,0
ECUADOR,Guillermo Celi,2021,0.285714285714286
ECUADOR,Gustavo Larrea,2021,0
ECUADOR,Isidro Romero,2021,0.214285714285714
ECUADOR,Juan Fernando Velasco,2021,
ECUADOR,Lucio Gutiérrez,2013,0.25
ECUADOR,Nelson Zavala,2013,0.6
ECUADOR,Paco Moncayo,2017,1
ECUADOR,Patricio Zuquilanda,2017,0.466666666666667
ECUADOR,Paúl Carrasco,2021,
ECUADOR,Pedro José Freile,2021,0.66
ECUADOR,Xavier Hervas,2021,0.449275362318841
ECUADOR,Ximena Peña,2021,0.5
ECUADOR,Yaku Pérez,2021,0.461538461538462
EL SALVADOR,Carlos Calleja,2019,0.573426573426573
EL SALVADOR,Josué Alvarado,2019,0.716417910447761
GUATEMALA,Adela de Torrebiarte,2011,0.574468085106383
GUATEMALA,Amílcar Rivera,2019,0.448275862068966
GUATEMALA,Anibal García,2019,0.414634146341463
GUATEMALA,Estuardo Galdámez,2019,0.666666666666667
GUATEMALA,Harold Caballeros,2011,0.616216216216216
GUATEMALA,Jimmy Morales,2015,0.739130434782609
GUATEMALA,Lizardo Sosa,2015,0.53
GUATEMALA,Luis Fernando Pérez,2015,0.540540540540541
GUATEMALA,Luis Velásquez,2019,0.241176470588235
GUATEMALA,Manfredo Marroquín,2019,0.593457943925234
GUATEMALA,Manuel Baldizón,2015,0.636363636363636
GUATEMALA,Roberto González Diaz Durán,2015,0.535714285714286
GUATEMALA,Sandra Torres,2019,0.862222222222222
GUATEMALA,Zury Ríos,2015,0.783582089552239
HONDURAS,Carlos Mauricio Portillo,2021,0.736842105263158
HONDURAS,Luis Orlando Zelaya,2017,0.438775510204082
HONDURAS,Marlene Alvarenga,2017,0.2
HONDURAS,Mauricio Villeda,2013,0.64021164021164
HONDURAS,Orle Solís,2013,0.671232876712329
HONDURAS,Romeo Vásquez Velázquez,2021,0.25
HONDURAS,Xiomara Castro,2021,0.451612903225806
HONDURAS,Yani Rosenthal,2021,0.156862745098039
MEXICO,José Antonio Meade,2018,0.816176470588235
MEXICO,Ricardo Anaya,2018,0.664921465968586
NICARAGUA,Daniel Ortega,2011,0.25
PANAMA,Ana Matilde Gómez,2019,0.365384615384615
PANAMA,Jose Domingo Arias,2014,0.555555555555556
PANAMA,Marco Armeglio,2019,0.665338645418327
PANAMA,Rómulo Roux,2019,0.644
PARAGUAY,Efrain Alegre,2018,0.41875
PARAGUAY,Horacio Cartes,2013,0.298165137614679
PARAGUAY,Pedro Almada,2018,0
PERU,Alan García,2016,0.285714285714286
PERU,Alberto Beingolea,2021,0.325842696629214
PERU,Alejandro Toledo,2011,0.625
PERU,Alfredo Barnechea,2016,0.672794117647059
PERU,Antero Flores Aráoz,2016,0.541062801932367
PERU,César Acuña,2021,0.547945205479452
PERU,Daniel Salaverry,2021,0.625
PERU,Fernando Olivera,2016,0.352941176470588
PERU,George Forsyth,2021,0.138888888888889
PERU,Hernando de Soto,2021,0.704918032786885
PERU,Jose Ñique de la Puente,2011,0.469387755102041
PERU,Juliana Reymer,2011,0.761904761904762
PERU,Julio Guzmán,2021,0.348148148148148
PERU,Keiko Fujimori,2011,0.5
PERU,Luis Castaneda,2011,0.516129032258065
PERU,Ollanta Humala,2011,0.545454545454545
PERU,Pedro Pablo Kuczynski,2016,0.414342629482072
PERU,Verónika Mendoza,2021,0.212121212121212
