Country,Year,personalism
ARGENTINA,2019,0.615384615384615
BOLIVIA,2019,0.373493975903614
BOLIVIA,2020,0.3125
BRASIL,2014,0.555555555555556
BRASIL,2022,0.747826086956522
CHILE,2013,0.755813953488372
CHILE,2017,0.314685314685315
CHILE,2021,0.555686274509804
COLOMBIA,2022,0.719039728934728
COSTA RICA,2014,0.706976744186047
COSTA RICA,2018,0.666492761184296
COSTA RICA,2022,0.541363734718165
ECUADOR,2021,0.455406911928651
EL SALVADOR,2019,0.573426573426573
GUATEMALA,2015,0.687747035573123
GUATEMALA,2019,0.862222222222222
HONDURAS,2013,0.64021164021164
HONDURAS,2017,0.438775510204082
HONDURAS,2021,0.451612903225806
MEXICO,2018,0.740548968278411
NICARAGUA,2011,0.25
PANAMA,2014,0.555555555555556
PANAMA,2019,0.644
PARAGUAY,2013,0.298165137614679
PARAGUAY,2018,0.41875
PERU,2011,0.556818181818182
PERU,2016,0.414342629482072
PERU,2021,0.704918032786885
REPÚBLICA DOMINICANA,2012,0.54405262590316
REPÚBLICA DOMINICANA,2016,0.647887323943662
REPÚBLICA DOMINICANA,2020,0.788888888888889
URUGUAY,2014,0.185185185185185
URUGUAY,2019,0.231387608806964
VENEZUELA,2012,0.205882352941176
VENEZUELA,2018,0.824324324324324
